wins,losses,win_rate,avg_reward,std_reward,avg_episode_length,avg_cards_remaining_win,avg_cards_remaining_loss,model_name,algorithm,model_path
55,45,55.00000000000001,49.653999999999996,77.6766958875054,34.91,4.3090909090909095,3.6444444444444444,Best PPO,PPO,models\best_ppo_uno.zip
52,48,52.0,44.867,76.92865403086161,25.22,4.230769230769231,3.875,DQN,DQN,models\sb3_dqn_uno.zip
51,49,51.0,41.39099999999999,81.65283105318517,37.02,4.254901960784314,4.1020408163265305,Best Optimal RPPO,RECURRENTPPO,models\best_optimal_rppo/best_model.zip
49,51,49.0,39.333,79.11794999240058,32.33,3.5306122448979593,3.8627450980392157,SB3 Recurrent PPO,RECURRENTPPO,models\sb3_recurrentppo_uno.zip
46,54,46.0,35.159000000000006,76.44706023778808,24.8,4.260869565217392,4.555555555555555,PPO,PPO,models\sb3_ppo_uno.zip
45,55,45.0,32.543000000000006,77.20935339063526,30.39,4.377777777777778,4.054545454545455,A2C,A2C,models\sb3_a2c_uno.zip
45,55,45.0,33.120000000000005,80.76191181491436,36.6,4.4222222222222225,3.4545454545454546,Recurrent PPO,RECURRENTPPO,models\recurrent_ppo_uno.zip
45,55,45.0,30.599000000000004,82.10369966694557,43.11,3.8444444444444446,3.981818181818182,Optimal Recurrent PPO,RECURRENTPPO,models\optimal_recurrent_ppo.zip
42,58,42.0,28.335000000000004,74.37889939357802,25.98,3.4285714285714284,4.568965517241379,Best Recurrent PPO,RECURRENTPPO,models\best_recurrent_ppo_uno.zip
41,59,41.0,25.923000000000002,77.34258833915503,30.03,4.560975609756097,4.305084745762712,Best Model,PPO,models\best_model.zip
40,60,40.0,26.858,73.81533469408643,26.19,3.875,4.233333333333333,PPO Best Config,PPO,models\sb3_ppo_best_config.zip
