wins,losses,win_rate,avg_reward,std_reward,avg_episode_length,avg_cards_remaining_win,avg_cards_remaining_loss,model_name,algorithm,model_path
31,19,62.0,59.83,72.93999245955541,24.76,4.225806451612903,4.315789473684211,Best PPO,PPO,models\best_ppo_uno.zip
30,20,60.0,57.378000000000014,77.20624661256367,27.08,4.266666666666667,4.1,PPO,PPO,models\sb3_ppo_uno.zip
30,20,60.0,58.81400000000001,76.3572079374305,30.84,4.2,4.4,A2C,A2C,models\sb3_a2c_uno.zip
27,23,54.0,48.26800000000001,76.58057570951004,27.28,3.740740740740741,4.695652173913044,Best Model,PPO,models\best_model.zip
24,26,48.0,37.458,77.02461188477356,25.12,3.9166666666666665,4.076923076923077,Best Recurrent PPO,RECURRENTPPO,models\best_recurrent_ppo_uno.zip
24,26,48.0,35.46,80.60307934564287,33.62,4.833333333333333,4.115384615384615,Self-Play Champion,RECURRENTPPO,models\selfplay_champion.zip
24,26,48.0,39.388000000000005,76.49218428048711,29.2,3.75,4.615384615384615,Recurrent PPO,RECURRENTPPO,models\recurrent_ppo_uno.zip
24,26,48.0,37.60000000000001,80.71752226127856,39.02,4.166666666666667,4.269230769230769,SB3 Recurrent PPO,RECURRENTPPO,models\sb3_recurrentppo_uno.zip
23,27,46.0,34.802,75.50172313265439,25.32,3.347826086956522,4.0,Best Optimal RPPO,RECURRENTPPO,models\best_optimal_rppo/best_model.zip
23,27,46.0,31.056000000000004,80.6215310199453,32.1,3.9565217391304346,3.962962962962963,PPO Best Config,PPO,models\sb3_ppo_best_config.zip
23,27,46.0,33.59400000000001,76.43342831510307,23.44,3.6956521739130435,4.37037037037037,Optimal Recurrent PPO,RECURRENTPPO,models\optimal_recurrent_ppo.zip
22,28,44.0,33.604000000000006,73.77140356533823,27.88,3.3636363636363638,4.285714285714286,DQN,DQN,models\sb3_dqn_uno.zip
