wins,losses,win_rate,avg_reward,std_reward,avg_episode_length,avg_cards_remaining_win,avg_cards_remaining_loss,model_name,algorithm,model_path
56,44,56.00000000000001,49.486999999999995,76.07677129715746,23.96,3.7142857142857144,4.409090909090909,Optimal Recurrent PPO,RECURRENTPPO,models\optimal_recurrent_ppo.zip
56,44,56.00000000000001,48.94300000000001,77.26852820521431,31.58,3.3214285714285716,4.568181818181818,Best Optimal RPPO,RECURRENTPPO,models\best_optimal_rppo/best_model.zip
55,45,55.00000000000001,46.992,80.97035961387353,35.88,3.5090909090909093,4.111111111111111,PPO,PPO,models\sb3_ppo_uno.zip
54,46,54.0,46.55,75.68907252701675,23.48,4.37037037037037,4.478260869565218,Recurrent PPO,RECURRENTPPO,models\recurrent_ppo_uno.zip
51,49,51.0,40.58700000000001,78.25638460215242,27.91,4.019607843137255,4.36734693877551,Best Model,PPO,models\best_model.zip
50,50,50.0,36.494,87.89735242884169,50.93,3.88,3.6,DQN,DQN,models\sb3_dqn_uno.zip
50,50,50.0,38.727000000000004,83.06002751624875,35.52,3.8,3.8,A2C,A2C,models\sb3_a2c_uno.zip
48,52,48.0,36.05500000000001,79.56381259718516,28.53,4.083333333333333,4.153846153846154,Self-Play Champion,RECURRENTPPO,models\selfplay_champion.zip
47,53,47.0,35.913,77.98824097900913,30.64,4.191489361702128,4.509433962264151,Best PPO,PPO,models\best_ppo_uno.zip
42,58,42.0,26.583000000000002,78.28502673564083,27.07,4.214285714285714,4.310344827586207,Best Recurrent PPO,RECURRENTPPO,models\best_recurrent_ppo_uno.zip
41,59,41.0,26.449,78.15672907050295,31.99,4.219512195121951,4.779661016949152,SB3 Recurrent PPO,RECURRENTPPO,models\sb3_recurrentppo_uno.zip
41,59,41.0,27.135999999999996,76.93020280747997,25.28,4.073170731707317,4.423728813559322,PPO Best Config,PPO,models\sb3_ppo_best_config.zip
