wins,losses,win_rate,avg_reward,std_reward,avg_episode_length,avg_cards_remaining_win,avg_cards_remaining_loss,model_name,algorithm,model_path
60,40,60.0,54.542,77.93909953290454,29.85,3.6,4.125,Best Recurrent PPO,RECURRENTPPO,models\best_recurrent_ppo_uno.zip
59,41,59.0,54.614000000000004,74.7766741972388,25.1,4.254237288135593,3.707317073170732,Optimal Recurrent PPO,RECURRENTPPO,models\optimal_recurrent_ppo.zip
57,43,56.99999999999999,50.69200000000001,81.50196277391117,38.26,3.5964912280701755,4.325581395348837,SB3 Recurrent PPO,RECURRENTPPO,models\sb3_recurrentppo_uno.zip
56,44,56.00000000000001,90.75300000000001,138.68279522348834,37.98,,,Best Enhanced RPPO,ENHANCED_RPPO,models\best_enhanced_rppo/best_model.zip
55,45,55.00000000000001,47.882999999999996,78.33808531614747,30.03,4.2,4.4,A2C,A2C,models\sb3_a2c_uno.zip
54,46,54.0,44.882999999999996,80.94503450490339,35.36,4.111111111111111,4.086956521739131,PPO,PPO,models\sb3_ppo_uno.zip
52,48,52.0,44.11299999999999,75.09652009913641,24.46,3.769230769230769,4.291666666666667,PPO Best Config,PPO,models\sb3_ppo_best_config.zip
50,50,50.0,36.678000000000004,83.12453738818641,37.63,4.68,4.12,Recurrent PPO,RECURRENTPPO,models\recurrent_ppo_uno.zip
49,51,49.0,39.20700000000001,79.27592983371434,32.37,4.387755102040816,3.980392156862745,Best Model,PPO,models\best_model.zip
49,51,49.0,71.58100000000002,135.06205069892874,32.23,,,Enhanced RPPO,ENHANCED_RPPO,models\enhanced_rppo.zip
48,52,48.0,36.568000000000005,79.77941699461084,31.07,3.9583333333333335,3.9615384615384617,Best Optimal RPPO,RECURRENTPPO,models\best_optimal_rppo/best_model.zip
45,55,45.0,32.183,77.22224427585616,29.25,3.8,4.327272727272727,Best PPO,PPO,models\best_ppo_uno.zip
44,56,44.0,30.963,79.24734147591325,29.41,4.0,4.428571428571429,DQN,DQN,models\sb3_dqn_uno.zip
