winner,turns,win_rate
AI,79,1.0
Human,35,0.5
AI,53,0.6666666666666666
AI,18,0.75
Human,68,0.6
AI,18,0.6666666666666666
Human,42,0.5714285714285714
AI,22,0.625
AI,115,0.6666666666666666
AI,46,0.7
AI,11,0.7272727272727273
Human,65,0.6666666666666666
Human,30,0.6153846153846154
AI,22,0.6428571428571429
AI,53,0.6666666666666666
AI,72,0.6875
Human,20,0.6470588235294118
AI,34,0.6666666666666666
Human,22,0.631578947368421
AI,98,0.65
Human,122,0.6190476190476191
AI,42,0.6363636363636364
Human,56,0.6086956521739131
Human,37,0.5833333333333334
Human,16,0.56
AI,26,0.5769230769230769
Human,26,0.5555555555555556
AI,41,0.5714285714285714
Human,48,0.5517241379310345
Human,19,0.5333333333333333
AI,11,0.5483870967741935
AI,16,0.5625
AI,19,0.5757575757575758
Human,15,0.5588235294117647
AI,27,0.5714285714285714
AI,20,0.5833333333333334
Human,50,0.5675675675675675
AI,28,0.5789473684210527
Human,40,0.5641025641025641
AI,50,0.575
Human,40,0.5609756097560976
Human,31,0.5476190476190477
AI,49,0.5581395348837209
Human,27,0.5454545454545454
Human,36,0.5333333333333333
AI,20,0.5434782608695652
AI,15,0.5531914893617021
Human,19,0.5416666666666666
Human,50,0.5306122448979592
Human,33,0.52
AI,31,0.5294117647058824
Human,47,0.5192307692307693
AI,85,0.5283018867924528
Human,61,0.5185185185185185
AI,45,0.5272727272727272
Human,20,0.5178571428571429
Human,30,0.5087719298245614
AI,42,0.5172413793103449
Human,30,0.5084745762711864
AI,48,0.5166666666666667
AI,25,0.5245901639344263
Human,13,0.5161290322580645
AI,11,0.5238095238095238
AI,72,0.53125
Human,32,0.5230769230769231
AI,50,0.5303030303030303
Human,32,0.5223880597014925
AI,36,0.5294117647058824
Human,44,0.5217391304347826
AI,56,0.5285714285714286
Human,12,0.5211267605633803
AI,42,0.5277777777777778
AI,19,0.5342465753424658
AI,12,0.5405405405405406
Human,16,0.5333333333333333
AI,48,0.5394736842105263
Human,14,0.5324675324675324
Human,15,0.5256410256410257
AI,121,0.5316455696202531
AI,16,0.5375
AI,45,0.5432098765432098
AI,18,0.5487804878048781
AI,11,0.5542168674698795
AI,22,0.5595238095238095
AI,63,0.5647058823529412
Human,21,0.5581395348837209
Human,28,0.5517241379310345
Human,17,0.5454545454545454
Human,16,0.5393258426966292
Human,29,0.5333333333333333
AI,13,0.5384615384615384
Human,11,0.532608695652174
AI,65,0.5376344086021505
Human,17,0.5319148936170213
Human,38,0.5263157894736842
Human,25,0.5208333333333334
Human,44,0.5154639175257731
AI,34,0.5204081632653061
Human,130,0.5151515151515151
Human,57,0.51
Human,78,0.504950495049505
Human,33,0.5
AI,63,0.5048543689320388
Human,35,0.5
AI,29,0.5047619047619047
Human,51,0.5
Human,84,0.4953271028037383
AI,64,0.5
Human,46,0.4954128440366973
Human,53,0.4909090909090909
Human,10,0.4864864864864865
Human,17,0.48214285714285715
AI,25,0.48672566371681414
Human,83,0.4824561403508772
Human,22,0.4782608695652174
AI,28,0.4827586206896552
AI,19,0.48717948717948717
Human,19,0.4830508474576271
AI,45,0.48739495798319327
AI,26,0.49166666666666664
Human,24,0.48760330578512395
Human,87,0.48360655737704916
AI,13,0.4878048780487805
Human,27,0.4838709677419355
Human,24,0.48
AI,16,0.48412698412698413
Human,38,0.48031496062992124
AI,44,0.484375
Human,80,0.4806201550387597
Human,31,0.47692307692307695
Human,14,0.4732824427480916
Human,31,0.4696969696969697
AI,15,0.47368421052631576
AI,12,0.47761194029850745
AI,147,0.48148148148148145
Human,29,0.47794117647058826
AI,19,0.48175182481751827
AI,60,0.4855072463768116
Human,18,0.48201438848920863
AI,98,0.4857142857142857
Human,44,0.48226950354609927
AI,56,0.4859154929577465
Human,54,0.4825174825174825
AI,58,0.4861111111111111
AI,29,0.4896551724137931
AI,20,0.4931506849315068
Human,24,0.4897959183673469
AI,22,0.49324324324324326
AI,19,0.4966442953020134
AI,34,0.5
Human,56,0.4966887417218543
AI,34,0.5
Human,26,0.49673202614379086
Human,15,0.4935064935064935
Human,24,0.49032258064516127
Human,25,0.48717948717948717
AI,19,0.49044585987261147
Human,23,0.4873417721518987
Human,52,0.48427672955974843
Human,51,0.48125
AI,33,0.484472049689441
AI,28,0.4876543209876543
AI,37,0.49079754601226994
Human,87,0.4878048780487805
AI,67,0.4909090909090909
AI,46,0.4939759036144578
AI,111,0.49700598802395207
AI,30,0.5
Human,34,0.4970414201183432
AI,42,0.5
Human,82,0.49707602339181284
AI,34,0.5
Human,30,0.49710982658959535
Human,37,0.4942528735632184
Human,40,0.49142857142857144
Human,21,0.48863636363636365
AI,27,0.4915254237288136
Human,57,0.4887640449438202
Human,14,0.4860335195530726
AI,14,0.4888888888888889
Human,94,0.4861878453038674
Human,37,0.4835164835164835
Human,18,0.4808743169398907
AI,54,0.483695652173913
Human,16,0.4810810810810811
AI,20,0.4838709677419355
AI,25,0.48663101604278075
Human,13,0.48404255319148937
Human,42,0.48148148148148145
AI,56,0.4842105263157895
AI,17,0.4869109947643979
Human,23,0.484375
AI,15,0.48704663212435234
Human,37,0.4845360824742268
Human,42,0.48205128205128206
AI,34,0.4846938775510204
Human,34,0.48223350253807107
Human,19,0.4797979797979798
Human,32,0.47738693467336685
Human,31,0.475
